Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle, IMU V
29 ,72 ,442 ,167 ,71 ,232 ,219.512650 ,156.794754 ,188.153702 ,0.000000 ,56.147984 ,-28.048780 ,5.254575 ,-1.768662 ,-2.636829 ,-0.064814 ,2.225485 ,-2.636829 ,129.055664
30 ,72 ,442 ,167 ,71 ,240 ,282.230560 ,172.474228 ,227.352386 ,0.000000 ,98.258972 ,-12.073171 ,5.254575 ,-1.670403 ,-2.648903 ,-0.071441 ,2.452741 ,-2.648903 ,124.126953
31 ,71 ,449 ,166 ,80 ,248 ,329.268982 ,109.756325 ,219.512650 ,0.000000 ,196.517944 ,-11.097561 ,5.426143 ,-1.473885 ,-2.660000 ,-0.077087 ,2.672181 ,-2.660000 ,108.240234
32 ,73 ,446 ,170 ,75 ,256 ,344.948456 ,94.076851 ,219.512650 ,0.000000 ,224.591934 ,-13.902439 ,5.426143 ,-1.249293 ,-2.673903 ,-0.081873 ,2.891641 ,-2.673903 ,102.785156
33 ,73 ,446 ,170 ,75 ,264 ,344.948456 ,109.756325 ,227.352386 ,0.000000 ,210.554947 ,-13.048780 ,4.741130 ,-1.038738 ,-2.686951 ,-0.085995 ,3.118956 ,-2.686951 ,99.866211
34 ,73 ,445 ,167 ,71 ,272 ,297.910034 ,172.474228 ,235.192123 ,0.000000 ,112.295967 ,-8.048780 ,5.254575 ,-0.926442 ,-2.695000 ,-0.089798 ,3.354118 ,-2.695000 ,94.267578
35 ,73 ,445 ,167 ,71 ,280 ,329.268982 ,188.153702 ,258.711334 ,0.000000 ,126.332962 ,-3.597561 ,5.254575 ,-0.800109 ,-2.698598 ,-0.093410 ,3.612804 ,-2.698598 ,92.640625
36 ,72 ,447 ,169 ,75 ,288 ,360.627930 ,172.474228 ,266.551086 ,0.000000 ,168.443954 ,1.951220 ,4.912068 ,-0.631665 ,-2.696646 ,-0.096349 ,3.879339 ,-2.696646 ,97.712891
37 ,74 ,450 ,168 ,74 ,296 ,344.948456 ,141.115280 ,243.031860 ,0.000000 ,182.480957 ,8.414635 ,4.912068 ,-0.449184 ,-2.688232 ,-0.098254 ,4.122363 ,-2.688232 ,97.138672
38 ,74 ,450 ,168 ,74 ,304 ,329.268982 ,172.474228 ,250.871597 ,0.000000 ,140.369965 ,16.890244 ,5.083216 ,-0.308814 ,-2.671342 ,-0.099606 ,4.373231 ,-2.671342 ,97.808594
39 ,73 ,445 ,167 ,72 ,312 ,313.589508 ,172.474228 ,243.031860 ,0.000000 ,126.332962 ,28.780489 ,5.083216 ,-0.182481 ,-2.642561 ,-0.100380 ,4.616261 ,-2.642561 ,104.699219
40 ,73 ,445 ,167 ,72 ,320 ,313.589508 ,188.153702 ,250.871597 ,0.000000 ,112.295967 ,40.548782 ,5.254575 ,-0.070185 ,-2.602012 ,-0.100688 ,4.867133 ,-2.602012 ,109.340820
41 ,70 ,443 ,162 ,70 ,328 ,329.268982 ,188.153702 ,258.711334 ,0.000000 ,126.332962 ,55.060978 ,6.114515 ,0.056148 ,-2.546951 ,-0.100434 ,5.125844 ,-2.546951 ,114.508789
42 ,70 ,443 ,162 ,70 ,336 ,344.948456 ,156.794754 ,250.871597 ,0.000000 ,168.443954 ,69.085365 ,6.114515 ,0.224592 ,-2.477866 ,-0.099451 ,5.376714 ,-2.477866 ,111.015625
43 ,78 ,442 ,170 ,74 ,344 ,329.268982 ,141.115280 ,235.192123 ,0.000000 ,168.443954 ,82.256096 ,4.741130 ,0.393036 ,-2.395610 ,-0.097837 ,5.611901 ,-2.395610 ,108.527344
44 ,75 ,433 ,171 ,68 ,352 ,329.268982 ,156.794754 ,243.031860 ,0.000000 ,154.406952 ,96.036591 ,4.741130 ,0.547443 ,-2.299573 ,-0.095515 ,5.854921 ,-2.299573 ,112.833984
