Time[ms], WallSen FL, WallSen L, WallSen R, WallSen FR, Machine V, Mot V L, Mot V R, Mot V LR, Machine Angular, Mot Angular, IMU Angular Z, Machine Angle, Mot Angle, IMU Angle, Mot Distance X, Mot Distance Y, IMU Global Angle
0 ,345 ,438 ,34 ,219 ,1000 ,925.089050 ,956.447998 ,940.768494 ,0.000000 ,-28.073992 ,-9.207317 ,0.000000 ,-0.028074 ,0.000000 ,0.000000 ,0.000000 ,-2.045122
1 ,346 ,428 ,35 ,221 ,1000 ,956.447998 ,956.447998 ,956.447998 ,23.636206 ,0.000000 ,-4.939024 ,0.000000 ,-0.028074 ,-0.004939 ,-0.000469 ,0.956448 ,-2.050061
2 ,346 ,428 ,35 ,221 ,1000 ,987.806946 ,940.768494 ,964.287720 ,47.272411 ,42.110989 ,-5.426829 ,0.000000 ,0.014037 ,-0.010366 ,-0.000232 ,1.920736 ,-2.055488
3 ,355 ,428 ,36 ,225 ,1000 ,1003.486389 ,893.730103 ,948.608215 ,70.908615 ,98.258972 ,-7.317073 ,0.000000 ,0.112296 ,-0.017683 ,0.001627 ,2.869342 ,-2.062805
4 ,359 ,428 ,39 ,229 ,1000 ,1050.524780 ,846.691650 ,948.608215 ,94.544823 ,182.480957 ,-8.170732 ,0.000000 ,0.294777 ,-0.025854 ,0.006507 ,3.817938 ,-2.070976
5 ,365 ,423 ,36 ,232 ,1000 ,1097.563232 ,815.332703 ,956.447998 ,118.181030 ,252.665924 ,-4.207317 ,0.000000 ,0.547443 ,-0.030061 ,0.015646 ,4.774342 ,-2.075183
6 ,368 ,422 ,39 ,234 ,1000 ,1113.242676 ,768.294250 ,940.768494 ,141.817230 ,308.813904 ,5.426829 ,0.000000 ,0.856257 ,-0.024634 ,0.029704 ,5.715006 ,-2.069756
7 ,368 ,422 ,39 ,234 ,1000 ,1128.922241 ,768.294250 ,948.608215 ,165.453430 ,322.850922 ,27.256098 ,0.000000 ,1.179108 ,0.002622 ,0.049225 ,6.663413 ,-2.042500
8 ,380 ,422 ,36 ,238 ,1000 ,1128.922241 ,768.294250 ,948.608215 ,189.089630 ,322.850922 ,64.146339 ,0.000000 ,1.501959 ,0.066768 ,0.074089 ,7.611695 ,-1.978354
9 ,393 ,420 ,43 ,242 ,1000 ,1175.960571 ,799.653198 ,987.806946 ,212.725830 ,336.887909 ,110.304878 ,0.000000 ,1.838847 ,0.177073 ,0.105786 ,8.598994 ,-1.868049
